Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-09-15,2014,9,15,Monday,39.51,40.09,38.95,39.57,727300,39.57,0.003041797961066184,39.192857142857164,37.3032
2014-09-16,2014,9,16,Tuesday,39.22,40.99,38.65,39.52,1272700,39.52,-0.00126356425186136,39.26714285714287,37.4396
2014-09-17,2014,9,17,Wednesday,39.5,39.77,38.31,38.58,755200,38.58,-0.02378539007643965,39.240000000000016,37.581599999999995
2014-09-18,2014,9,18,Thursday,38.62,38.97,38.16,38.47,810200,38.47,-0.0028512339328874425,39.22500000000002,37.7136
2014-09-19,2014,9,19,Friday,39.21,39.48,37.91,37.99,1593300,37.99,-0.012477242708742398,39.192857142857164,37.83559999999999
2014-09-22,2014,9,22,Monday,38.0,38.12,35.21,35.49,1350600,35.49,-0.06580678835339537,38.91928571428573,37.8882
2014-09-23,2014,9,23,Tuesday,35.04,36.63,34.97,35.32,899300,35.32,-0.004790137379613757,38.52500000000002,37.924
2014-09-24,2014,9,24,Wednesday,35.46,36.16,34.45,35.91,746400,35.91,0.01670442122552873,38.25785714285716,37.993399999999994
2014-09-25,2014,9,25,Thursday,35.73,36.21,34.48,34.72,901400,34.72,-0.03313836345768584,37.89857142857145,38.0286
2014-09-26,2014,9,26,Friday,34.74,35.14,34.1,34.58,685200,34.58,-0.004032240343498583,37.53285714285716,38.08259999999999
2014-09-29,2014,9,29,Monday,34.16,35.46,33.57,35.36,720800,35.36,0.022556354482213825,37.254285714285736,38.14719999999999
2014-09-30,2014,9,30,Tuesday,35.32,35.5,34.2,34.24,514900,34.24,-0.031674177391187275,36.92285714285716,38.17639999999999
2014-10-01,2014,10,1,Wednesday,33.75,35.27,33.62,35.05,1426900,35.05,0.02365646959366674,36.732142857142875,38.228999999999985
2014-10-02,2014,10,2,Thursday,34.84,35.68,34.52,35.09,458900,35.09,0.0011412529642811364,36.420714285714304,38.26039999999998
2014-10-03,2014,10,3,Friday,35.2,35.96,34.87,35.6,537400,35.6,0.014534007390011094,36.13714285714288,38.27319999999998
2014-10-06,2014,10,6,Monday,35.6,36.22,35.1,35.65,692200,35.65,0.0014045801657593948,35.86071428571431,38.28159999999998
2014-10-07,2014,10,7,Tuesday,35.36,36.39,35.28,36.2,664200,36.2,0.015427747924815494,35.690714285714314,38.24519999999998
2014-10-08,2014,10,8,Wednesday,37.0,37.5,36.4,37.11,1104000,37.11,0.02513811680202349,35.59357142857145,38.235599999999984
2014-10-09,2014,10,9,Thursday,37.61,37.61,36.06,36.92,913300,36.92,-0.005119979474030201,35.51714285714287,38.24359999999999
